"record_id","scope","facility_id","facility_name","period_start","period_end","source_type","energy_type","fuel_type","quantity","unit","supplier_name","invoice_number","asset_id","meter_number","grid_region","country","state","contract_type","notes"
"S1-0046","scope1","FAC-006","Hyderabad Plant","2026-03-06","2026-03-06","generator","","diesel","522","liter","Indian Oil","INV-10046","GEN-16","","","India","Telangana","","Monthly generator refill"
"S1-0047","scope1","FAC-007","Pune Office","2026-03-07","2026-03-07","boiler","","lpg","184","kg","Hindustan Petroleum","INV-10047","BLR-16","","","India","Maharashtra","","Boiler fuel purchase"
"S1-0048","scope1","FAC-008","Ahmedabad Depot","2026-03-08","2026-03-08","vehicle","","petrol","93","liter","Indian Oil","INV-10048","VEH-16","","","India","Gujarat","","Company hatchback refuel"
"S1-0049","scope1","FAC-009","Jaipur Center","2026-03-09","2026-03-09","generator","","diesel","463","liter","Bharat Petroleum","INV-10049","GEN-17","","","India","Rajasthan","","Backup power usage"
"S1-0050","scope1","FAC-010","Lucknow Facility","2026-03-10","2026-03-10","boiler","","natural_gas","301","Nm3","GAIL","INV-10050","BLR-17","","","India","Uttar Pradesh","","Steam generation"
"S1-0051","scope1","FAC-001","Delhi Plant","2026-03-11","2026-03-11","vehicle","","diesel","137","liter","Hindustan Petroleum","INV-10051","VEH-17","","","India","Delhi","","Delivery van refuel"
"S1-0052","scope1","FAC-002","Mumbai Office","2026-03-12","2026-03-12","generator","","diesel","408","liter","Indian Oil","INV-10052","GEN-18","","","India","Maharashtra","","Monthly generator refill"
"S1-0053","scope1","FAC-003","Bengaluru Hub","2026-03-13","2026-03-13","boiler","","lpg","199","kg","Bharat Petroleum","INV-10053","BLR-18","","","India","Karnataka","","Boiler fuel purchase"
"S1-0054","scope1","FAC-004","Chennai Warehouse","2026-03-14","2026-03-14","vehicle","","petrol","86","liter","Hindustan Petroleum","INV-10054","VEH-18","","","India","Tamil Nadu","","Staff transport vehicle"
"S1-0055","scope1","FAC-005","Kolkata Branch","2026-03-15","2026-03-15","generator","","diesel","489","liter","Indian Oil","INV-10055","GEN-19","","","India","West Bengal","","Backup power usage"
"S1-0056","scope1","FAC-006","Hyderabad Plant","2026-03-16","2026-03-16","boiler","","natural_gas","348","Nm3","GAIL","INV-10056","BLR-19","","","India","Telangana","","Steam generation"
"S1-0057","scope1","FAC-007","Pune Office","2026-03-17","2026-03-17","vehicle","","petrol","77","liter","Bharat Petroleum","INV-10057","VEH-19","","","India","Maharashtra","","Pool car refuel"
"S1-0058","scope1","FAC-008","Ahmedabad Depot","2026-03-18","2026-03-18","generator","","diesel","451","liter","Indian Oil","INV-10058","GEN-20","","","India","Gujarat","","Monthly generator refill"
"S1-0059","scope1","FAC-009","Jaipur Center","2026-03-19","2026-03-19","boiler","","lpg","208","kg","Hindustan Petroleum","INV-10059","BLR-20","","","India","Rajasthan","","Boiler fuel purchase"
"S1-0060","scope1","FAC-010","Lucknow Facility","2026-03-20","2026-03-20","vehicle","","diesel","124","liter","Indian Oil","INV-10060","VEH-20","","","India","Uttar Pradesh","","Service van refuel"
"S1-0061","scope1","FAC-001","Delhi Plant","2026-04-01","2026-04-01","generator","","diesel","432","liter","Bharat Petroleum","INV-10061","GEN-21","","","India","Delhi","","Monthly generator refill"
"S1-0062","scope1","FAC-002","Mumbai Office","2026-04-02","2026-04-02","boiler","","natural_gas","315","Nm3","GAIL","INV-10062","BLR-21","","","India","Maharashtra","","Heating system consumption"
"S1-0063","scope1","FAC-003","Bengaluru Hub","2026-04-03","2026-04-03","vehicle","","petrol","94","liter","Indian Oil","INV-10063","VEH-21","","","India","Karnataka","","Company sedan refuel"
"S1-0064","scope1","FAC-004","Chennai Warehouse","2026-04-04","2026-04-04","generator","","diesel","517","liter","Hindustan Petroleum","INV-10064","GEN-22","","","India","Tamil Nadu","","Backup power usage"
"S1-0065","scope1","FAC-005","Kolkata Branch","2026-04-05","2026-04-05","boiler","","lpg","191","kg","Bharat Petroleum","INV-10065","BLR-22","","","India","West Bengal","","Boiler fuel purchase"
"S1-0066","scope1","FAC-006","Hyderabad Plant","2026-04-06","2026-04-06","vehicle","","diesel","149","liter","Indian Oil","INV-10066","VEH-22","","","India","Telangana","","Delivery truck refuel"
"S1-0067","scope1","FAC-007","Pune Office","2026-04-07","2026-04-07","generator","","diesel","399","liter","Hindustan Petroleum","INV-10067","GEN-23","","","India","Maharashtra","","Monthly generator refill"
"S1-0068","scope1","FAC-008","Ahmedabad Depot","2026-04-08","2026-04-08","boiler","","natural_gas","292","Nm3","GAIL","INV-10068","BLR-23","","","India","Gujarat","","Steam generation"
"S1-0069","scope1","FAC-009","Jaipur Center","2026-04-09","2026-04-09","vehicle","","petrol","82","liter","Bharat Petroleum","INV-10069","VEH-23","","","India","Rajasthan","","Field vehicle refuel"
"S1-0070","scope1","FAC-010","Lucknow Facility","2026-04-10","2026-04-10","generator","","diesel","478","liter","Indian Oil","INV-10070","GEN-24","","","India","Uttar Pradesh","","Backup power usage"
"S1-0071","scope1","FAC-001","Delhi Plant","2026-04-11","2026-04-11","boiler","","lpg","218","kg","Hindustan Petroleum","INV-10071","BLR-24","","","India","Delhi","","Boiler fuel purchase"
"S1-0072","scope1","FAC-002","Mumbai Office","2026-04-12","2026-04-12","vehicle","","petrol","75","liter","Indian Oil","INV-10072","VEH-24","","","India","Maharashtra","","Pool car refuel"
"S1-0073","scope1","FAC-003","Bengaluru Hub","2026-04-13","2026-04-13","generator","","diesel","411","liter","Bharat Petroleum","INV-10073","GEN-25","","","India","Karnataka","","Monthly generator refill"
"S1-0074","scope1","FAC-004","Chennai Warehouse","2026-04-14","2026-04-14","boiler","","natural_gas","338","Nm3","GAIL","INV-10074","BLR-25","","","India","Tamil Nadu","","Heating system consumption"
"S1-0075","scope1","FAC-005","Kolkata Branch","2026-04-15","2026-04-15","vehicle","","diesel","127","liter","Hindustan Petroleum","INV-10075","VEH-25","","","India","West Bengal","","Service vehicle refuel"
"S1-0076","scope1","FAC-006","Hyderabad Plant","2026-04-16","2026-04-16","generator","","diesel","526","liter","Indian Oil","INV-10076","GEN-26","","","India","Telangana","","Backup power usage"
"S1-0077","scope1","FAC-007","Pune Office","2026-04-17","2026-04-17","boiler","","lpg","186","kg","Bharat Petroleum","INV-10077","BLR-26","","","India","Maharashtra","","Boiler fuel purchase"
"S1-0078","scope1","FAC-008","Ahmedabad Depot","2026-04-18","2026-04-18","vehicle","","petrol","90","liter","Indian Oil","INV-10078","VEH-26","","","India","Gujarat","","Company hatchback refuel"
"S1-0079","scope1","FAC-009","Jaipur Center","2026-04-19","2026-04-19","generator","","diesel","466","liter","Hindustan Petroleum","INV-10079","GEN-27","","","India","Rajasthan","","Monthly generator refill"
"S1-0080","scope1","FAC-010","Lucknow Facility","2026-04-20","2026-04-20","boiler","","natural_gas","306","Nm3","GAIL","INV-10080","BLR-27","","","India","Uttar Pradesh","","Steam generation"
"S1-0081","scope1","FAC-001","Delhi Plant","2026-05-01","2026-05-01","vehicle","","diesel","134","liter","Bharat Petroleum","INV-10081","VEH-27","","","India","Delhi","","Delivery van refuel"
"S1-0082","scope1","FAC-002","Mumbai Office","2026-05-02","2026-05-02","generator","","diesel","421","liter","Indian Oil","INV-10082","GEN-28","","","India","Maharashtra","","Monthly generator refill"
"S1-0083","scope1","FAC-003","Bengaluru Hub","2026-05-03","2026-05-03","boiler","","lpg","203","kg","Hindustan Petroleum","INV-10083","BLR-28","","","India","Karnataka","","Boiler fuel purchase"
"S1-0084","scope1","FAC-004","Chennai Warehouse","2026-05-04","2026-05-04","vehicle","","petrol","84","liter","Indian Oil","INV-10084","VEH-28","","","India","Tamil Nadu","","Staff transport vehicle"
"S1-0085","scope1","FAC-005","Kolkata Branch","2026-05-05","2026-05-05","generator","","diesel","492","liter","Bharat Petroleum","INV-10085","GEN-29","","","India","West Bengal","","Backup power usage"
"S1-0086","scope1","FAC-006","Hyderabad Plant","2026-05-06","2026-05-06","boiler","","natural_gas","344","Nm3","GAIL","INV-10086","BLR-29","","","India","Telangana","","Steam generation"
"S1-0087","scope1","FAC-007","Pune Office","2026-05-07","2026-05-07","vehicle","","petrol","78","liter","Hindustan Petroleum","INV-10087","VEH-29","","","India","Maharashtra","","Pool car refuel"
"S1-0088","scope1","FAC-008","Ahmedabad Depot","2026-05-08","2026-05-08","generator","","diesel","447","liter","Indian Oil","INV-10088","GEN-30","","","India","Gujarat","","Monthly generator refill"
"S1-0089","scope1","FAC-009","Jaipur Center","2026-05-09","2026-05-09","boiler","","lpg","212","kg","Bharat Petroleum","INV-10089","BLR-30","","","India","Rajasthan","","Boiler fuel purchase"
"S1-0090","scope1","FAC-010","Lucknow Facility","2026-05-10","2026-05-10","vehicle","","diesel","120","liter","Indian Oil","INV-10090","VEH-30","","","India","Uttar Pradesh","","Service van refuel"
"S1-0091","scope1","FAC-001","Delhi Plant","2026-05-11","2026-05-11","generator","","diesel","436","liter","Hindustan Petroleum","INV-10091","GEN-31","","","India","Delhi","","Backup power usage"
"S1-0092","scope1","FAC-002","Mumbai Office","2026-05-12","2026-05-12","boiler","","natural_gas","312","Nm3","GAIL","INV-10092","BLR-31","","","India","Maharashtra","","Heating system consumption"
"S1-0093","scope1","FAC-003","Bengaluru Hub","2026-05-13","2026-05-13","vehicle","","petrol","97","liter","Bharat Petroleum","INV-10093","VEH-31","","","India","Karnataka","","Company sedan refuel"
"S1-0094","scope1","FAC-004","Chennai Warehouse","2026-05-14","2026-05-14","generator","","diesel","508","liter","Indian Oil","INV-10094","GEN-32","","","India","Tamil Nadu","","Monthly generator refill"
"S1-0095","scope1","FAC-005","Kolkata Branch","2026-05-15","2026-05-15","boiler","","lpg","194","kg","Hindustan Petroleum","INV-10095","BLR-32","","","India","West Bengal","","Boiler fuel purchase"
"S1-0096","scope1","FAC-006","Hyderabad Plant","2026-05-16","2026-05-16","vehicle","","diesel","143","liter","Bharat Petroleum","INV-10096","VEH-32","","","India","Telangana","","Delivery truck refuel"
"S1-0097","scope1","FAC-007","Pune Office","2026-05-17","2026-05-17","generator","","diesel","404","liter","Indian Oil","INV-10097","GEN-33","","","India","Maharashtra","","Backup power usage"
"S1-0098","scope1","FAC-008","Ahmedabad Depot","2026-05-18","2026-05-18","boiler","","natural_gas","289","Nm3","GAIL","INV-10098","BLR-33","","","India","Gujarat","","Steam generation"
"S1-0099","scope1","FAC-009","Jaipur Center","2026-05-19","2026-05-19","vehicle","","petrol","80","liter","Hindustan Petroleum","INV-10099","VEH-33","","","India","Rajasthan","","Field vehicle refuel"
"S1-0100","scope1","FAC-010","Lucknow Facility","2026-05-20","2026-05-20","generator","","diesel","474","liter","Indian Oil","INV-10100","GEN-34","","","India","Uttar Pradesh","","Monthly generator refill"
"S2-0001","scope2","FAC-001","Delhi Plant","2026-01-01","2026-01-31","","electricity","","18450","kWh","Tata Power","EB-20001","","MTR-1001","India Grid","India","Delhi","standard_grid","Monthly electricity bill"
"S2-0002","scope2","FAC-002","Mumbai Office","2026-01-01","2026-01-31","","electricity","","12680","kWh","Adani Electricity","EB-20002","","MTR-1002","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0003","scope2","FAC-003","Bengaluru Hub","2026-01-01","2026-01-31","","electricity","","14320","kWh","BESCOM","EB-20003","","MTR-1003","India Grid","India","Karnataka","standard_grid","Monthly electricity bill"
"S2-0004","scope2","FAC-004","Chennai Warehouse","2026-01-01","2026-01-31","","electricity","","16890","kWh","TANGEDCO","EB-20004","","MTR-1004","India Grid","India","Tamil Nadu","standard_grid","Warehouse electricity consumption"
"S2-0005","scope2","FAC-005","Kolkata Branch","2026-01-01","2026-01-31","","electricity","","11970","kWh","CESC","EB-20005","","MTR-1005","India Grid","India","West Bengal","standard_grid","Monthly electricity bill"
"S2-0006","scope2","FAC-006","Hyderabad Plant","2026-01-01","2026-01-31","","electricity","","19240","kWh","TSSPDCL","EB-20006","","MTR-1006","India Grid","India","Telangana","green_tariff","Plant electricity usage"
"S2-0007","scope2","FAC-007","Pune Office","2026-01-01","2026-01-31","","electricity","","10850","kWh","MSEDCL","EB-20007","","MTR-1007","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0008","scope2","FAC-008","Ahmedabad Depot","2026-01-01","2026-01-31","","electricity","","15460","kWh","UGVCL","EB-20008","","MTR-1008","India Grid","India","Gujarat","standard_grid","Depot electricity bill"
"S2-0009","scope2","FAC-009","Jaipur Center","2026-01-01","2026-01-31","","electricity","","13290","kWh","JVVNL","EB-20009","","MTR-1009","India Grid","India","Rajasthan","standard_grid","Monthly electricity bill"
"S2-0010","scope2","FAC-010","Lucknow Facility","2026-01-01","2026-01-31","","electricity","","17630","kWh","UPPCL","EB-20010","","MTR-1010","India Grid","India","Uttar Pradesh","standard_grid","Facility electricity usage"
"S2-0011","scope2","FAC-001","Delhi Plant","2026-02-01","2026-02-28","","electricity","","17980","kWh","Tata Power","EB-20011","","MTR-1001","India Grid","India","Delhi","standard_grid","Monthly electricity bill"
"S2-0012","scope2","FAC-002","Mumbai Office","2026-02-01","2026-02-28","","electricity","","12140","kWh","Adani Electricity","EB-20012","","MTR-1002","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0013","scope2","FAC-003","Bengaluru Hub","2026-02-01","2026-02-28","","electricity","","13860","kWh","BESCOM","EB-20013","","MTR-1003","India Grid","India","Karnataka","standard_grid","Monthly electricity bill"
"S2-0014","scope2","FAC-004","Chennai Warehouse","2026-02-01","2026-02-28","","electricity","","16250","kWh","TANGEDCO","EB-20014","","MTR-1004","India Grid","India","Tamil Nadu","standard_grid","Warehouse electricity consumption"
"S2-0015","scope2","FAC-005","Kolkata Branch","2026-02-01","2026-02-28","","electricity","","11490","kWh","CESC","EB-20015","","MTR-1005","India Grid","India","West Bengal","standard_grid","Monthly electricity bill"
"S2-0016","scope2","FAC-006","Hyderabad Plant","2026-02-01","2026-02-28","","electricity","","18760","kWh","TSSPDCL","EB-20016","","MTR-1006","India Grid","India","Telangana","green_tariff","Plant electricity usage"
"S2-0017","scope2","FAC-007","Pune Office","2026-02-01","2026-02-28","","electricity","","10320","kWh","MSEDCL","EB-20017","","MTR-1007","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0018","scope2","FAC-008","Ahmedabad Depot","2026-02-01","2026-02-28","","electricity","","14920","kWh","UGVCL","EB-20018","","MTR-1008","India Grid","India","Gujarat","standard_grid","Depot electricity bill"
"S2-0019","scope2","FAC-009","Jaipur Center","2026-02-01","2026-02-28","","electricity","","12840","kWh","JVVNL","EB-20019","","MTR-1009","India Grid","India","Rajasthan","standard_grid","Monthly electricity bill"
"S2-0020","scope2","FAC-010","Lucknow Facility","2026-02-01","2026-02-28","","electricity","","17110","kWh","UPPCL","EB-20020","","MTR-1010","India Grid","India","Uttar Pradesh","standard_grid","Facility electricity usage"
"S2-0021","scope2","FAC-001","Delhi Plant","2026-03-01","2026-03-31","","electricity","","18620","kWh","Tata Power","EB-20021","","MTR-1001","India Grid","India","Delhi","standard_grid","Monthly electricity bill"
"S2-0022","scope2","FAC-002","Mumbai Office","2026-03-01","2026-03-31","","electricity","","12910","kWh","Adani Electricity","EB-20022","","MTR-1002","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0023","scope2","FAC-003","Bengaluru Hub","2026-03-01","2026-03-31","","electricity","","14590","kWh","BESCOM","EB-20023","","MTR-1003","India Grid","India","Karnataka","standard_grid","Monthly electricity bill"
"S2-0024","scope2","FAC-004","Chennai Warehouse","2026-03-01","2026-03-31","","electricity","","17080","kWh","TANGEDCO","EB-20024","","MTR-1004","India Grid","India","Tamil Nadu","standard_grid","Warehouse electricity consumption"
"S2-0025","scope2","FAC-005","Kolkata Branch","2026-03-01","2026-03-31","","electricity","","12130","kWh","CESC","EB-20025","","MTR-1005","India Grid","India","West Bengal","standard_grid","Monthly electricity bill"
"S2-0026","scope2","FAC-006","Hyderabad Plant","2026-03-01","2026-03-31","","electricity","","19450","kWh","TSSPDCL","EB-20026","","MTR-1006","India Grid","India","Telangana","green_tariff","Plant electricity usage"
"S2-0027","scope2","FAC-007","Pune Office","2026-03-01","2026-03-31","","electricity","","11040","kWh","MSEDCL","EB-20027","","MTR-1007","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0028","scope2","FAC-008","Ahmedabad Depot","2026-03-01","2026-03-31","","electricity","","15610","kWh","UGVCL","EB-20028","","MTR-1008","India Grid","India","Gujarat","standard_grid","Depot electricity bill"
"S2-0029","scope2","FAC-009","Jaipur Center","2026-03-01","2026-03-31","","electricity","","13470","kWh","JVVNL","EB-20029","","MTR-1009","India Grid","India","Rajasthan","standard_grid","Monthly electricity bill"
"S2-0030","scope2","FAC-010","Lucknow Facility","2026-03-01","2026-03-31","","electricity","","17790","kWh","UPPCL","EB-20030","","MTR-1010","India Grid","India","Uttar Pradesh","standard_grid","Facility electricity usage"
"S2-0031","scope2","FAC-001","Delhi Plant","2026-04-01","2026-04-30","","electricity","","19110","kWh","Tata Power","EB-20031","","MTR-1001","India Grid","India","Delhi","standard_grid","Monthly electricity bill"
"S2-0032","scope2","FAC-002","Mumbai Office","2026-04-01","2026-04-30","","electricity","","13340","kWh","Adani Electricity","EB-20032","","MTR-1002","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0033","scope2","FAC-003","Bengaluru Hub","2026-04-01","2026-04-30","","electricity","","14980","kWh","BESCOM","EB-20033","","MTR-1003","India Grid","India","Karnataka","standard_grid","Monthly electricity bill"
"S2-0034","scope2","FAC-004","Chennai Warehouse","2026-04-01","2026-04-30","","electricity","","17420","kWh","TANGEDCO","EB-20034","","MTR-1004","India Grid","India","Tamil Nadu","standard_grid","Warehouse electricity consumption"
"S2-0035","scope2","FAC-005","Kolkata Branch","2026-04-01","2026-04-30","","electricity","","12460","kWh","CESC","EB-20035","","MTR-1005","India Grid","India","West Bengal","standard_grid","Monthly electricity bill"
"S2-0036","scope2","FAC-006","Hyderabad Plant","2026-04-01","2026-04-30","","electricity","","19830","kWh","TSSPDCL","EB-20036","","MTR-1006","India Grid","India","Telangana","green_tariff","Plant electricity usage"
"S2-0037","scope2","FAC-007","Pune Office","2026-04-01","2026-04-30","","electricity","","11390","kWh","MSEDCL","EB-20037","","MTR-1007","India Grid","India","Maharashtra","standard_grid","Office electricity consumption"
"S2-0038","scope2","FAC-008","Ahmedabad Depot","2026-04-01","2026-04-30","","electricity","","15920","kWh","UGVCL","EB-20038","","MTR-1008","India Grid","India","Gujarat","standard_grid","Depot electricity bill"
"S2-0039","scope2","FAC-009","Jaipur Center","2026-04-01","2026-04-30","","electricity","","13880","kWh","JVVNL","EB-20039","","MTR-1009","India Grid","India","Rajasthan","standard_grid","Monthly electricity bill"
"S2-0040","scope2","FAC-010","Lucknow Facility","2026-04-01","2026-04-30","","electricity","","18140","kWh","UPPCL","EB-20040","","MTR-1010","India Grid","India","Uttar Pradesh","standard_grid","Facility electricity usage"
