record_id,facility_id,facility_name,date,source_type,fuel_type,quantity,unit,supplier_name,invoice_number,asset_id,country,state,notes
S1-0052,FAC-002,Mumbai Office,2026-03-12,generator,diesel,408,liter,Indian Oil,INV-10052,GEN-18,India,Maharashtra,Monthly generator refill
S1-0053,FAC-003,Bengaluru Hub,2026-03-13,boiler,lpg,199,kg,Bharat Petroleum,INV-10053,BLR-18,India,Karnataka,Boiler fuel purchase
S1-0054,FAC-004,Chennai Warehouse,2026-03-14,vehicle,petrol,86,liter,Hindustan Petroleum,INV-10054,VEH-18,India,Tamil Nadu,Staff transport vehicle
S1-0055,FAC-005,Kolkata Branch,2026-03-15,generator,diesel,489,liter,Indian Oil,INV-10055,GEN-19,India,West Bengal,Backup power usage
S1-0056,FAC-006,Hyderabad Plant,2026-03-16,boiler,natural_gas,348,Nm3,GAIL,INV-10056,BLR-19,India,Telangana,Steam generation
S1-0057,FAC-007,Pune Office,2026-03-17,vehicle,petrol,77,liter,Bharat Petroleum,INV-10057,VEH-19,India,Maharashtra,Pool car refuel
S1-0058,FAC-008,Ahmedabad Depot,2026-03-18,generator,diesel,451,liter,Indian Oil,INV-10058,GEN-20,India,Gujarat,Monthly generator refill
S1-0059,FAC-009,Jaipur Center,2026-03-19,boiler,lpg,208,kg,Hindustan Petroleum,INV-10059,BLR-20,India,Rajasthan,Boiler fuel purchase
S1-0060,FAC-010,Lucknow Facility,2026-03-20,vehicle,diesel,124,liter,Indian Oil,INV-10060,VEH-20,India,Uttar Pradesh,Service van refuel
S1-0061,FAC-001,Delhi Plant,2026-04-01,generator,diesel,432,liter,Bharat Petroleum,INV-10061,GEN-21,India,Delhi,Monthly generator refill
S1-0062,FAC-002,Mumbai Office,2026-04-02,boiler,natural_gas,315,Nm3,GAIL,INV-10062,BLR-21,India,Maharashtra,Heating system consumption
S1-0063,FAC-003,Bengaluru Hub,2026-04-03,vehicle,petrol,94,liter,Indian Oil,INV-10063,VEH-21,India,Karnataka,Company sedan refuel
S1-0064,FAC-004,Chennai Warehouse,2026-04-04,generator,diesel,517,liter,Hindustan Petroleum,INV-10064,GEN-22,India,Tamil Nadu,Backup power usage
S1-0065,FAC-005,Kolkata Branch,2026-04-05,boiler,lpg,191,kg,Bharat Petroleum,INV-10065,BLR-22,India,West Bengal,Boiler fuel purchase
S1-0066,FAC-006,Hyderabad Plant,2026-04-06,vehicle,diesel,149,liter,Indian Oil,INV-10066,VEH-22,India,Telangana,Delivery truck refuel
S1-0067,FAC-007,Pune Office,2026-04-07,generator,diesel,399,liter,Hindustan Petroleum,INV-10067,GEN-23,India,Maharashtra,Monthly generator refill
S1-0068,FAC-008,Ahmedabad Depot,2026-04-08,boiler,natural_gas,292,Nm3,GAIL,INV-10068,BLR-23,India,Gujarat,Steam generation
S1-0069,FAC-009,Jaipur Center,2026-04-09,vehicle,petrol,82,liter,Bharat Petroleum,INV-10069,VEH-23,India,Rajasthan,Field vehicle refuel
S1-0070,FAC-010,Lucknow Facility,2026-04-10,generator,diesel,478,liter,Indian Oil,INV-10070,GEN-24,India,Uttar Pradesh,Backup power usage
S1-0071,FAC-001,Delhi Plant,2026-04-11,boiler,lpg,218,kg,Hindustan Petroleum,INV-10071,BLR-24,India,Delhi,Boiler fuel purchase
S1-0072,FAC-002,Mumbai Office,2026-04-12,vehicle,petrol,75,liter,Indian Oil,INV-10072,VEH-24,India,Maharashtra,Pool car refuel
S1-0073,FAC-003,Bengaluru Hub,2026-04-13,generator,diesel,411,liter,Bharat Petroleum,INV-10073,GEN-25,India,Karnataka,Monthly generator refill
S1-0074,FAC-004,Chennai Warehouse,2026-04-14,boiler,natural_gas,338,Nm3,GAIL,INV-10074,BLR-25,India,Tamil Nadu,Heating system consumption
S1-0075,FAC-005,Kolkata Branch,2026-04-15,vehicle,diesel,127,liter,Hindustan Petroleum,INV-10075,VEH-25,India,West Bengal,Service vehicle refuel
S1-0076,FAC-006,Hyderabad Plant,2026-04-16,generator,diesel,526,liter,Indian Oil,INV-10076,GEN-26,India,Telangana,Backup power usage
S1-0077,FAC-007,Pune Office,2026-04-17,boiler,lpg,186,kg,Bharat Petroleum,INV-10077,BLR-26,India,Maharashtra,Boiler fuel purchase
S1-0078,FAC-008,Ahmedabad Depot,2026-04-18,vehicle,petrol,90,liter,Indian Oil,INV-10078,VEH-26,India,Gujarat,Company hatchback refuel
S1-0079,FAC-009,Jaipur Center,2026-04-19,generator,diesel,466,liter,Hindustan Petroleum,INV-10079,GEN-27,India,Rajasthan,Monthly generator refill
S1-0080,FAC-010,Lucknow Facility,2026-04-20,boiler,natural_gas,306,Nm3,GAIL,INV-10080,BLR-27,India,Uttar Pradesh,Steam generation
S1-0081,FAC-001,Delhi Plant,2026-05-01,vehicle,diesel,134,liter,Bharat Petroleum,INV-10081,VEH-27,India,Delhi,Delivery van refuel
S1-0082,FAC-002,Mumbai Office,2026-05-02,generator,diesel,421,liter,Indian Oil,INV-10082,GEN-28,India,Maharashtra,Monthly generator refill
S1-0083,FAC-003,Bengaluru Hub,2026-05-03,boiler,lpg,203,kg,Hindustan Petroleum,INV-10083,BLR-28,India,Karnataka,Boiler fuel purchase
S1-0084,FAC-004,Chennai Warehouse,2026-05-04,vehicle,petrol,84,liter,Indian Oil,INV-10084,VEH-28,India,Tamil Nadu,Staff transport vehicle
S1-0085,FAC-005,Kolkata Branch,2026-05-05,generator,diesel,492,liter,Bharat Petroleum,INV-10085,GEN-29,India,West Bengal,Backup power usage
S1-0086,FAC-006,Hyderabad Plant,2026-05-06,boiler,natural_gas,344,Nm3,GAIL,INV-10086,BLR-29,India,Telangana,Steam generation
S1-0087,FAC-007,Pune Office,2026-05-07,vehicle,petrol,78,liter,Hindustan Petroleum,INV-10087,VEH-29,India,Maharashtra,Pool car refuel
S1-0088,FAC-008,Ahmedabad Depot,2026-05-08,generator,diesel,447,liter,Indian Oil,INV-10088,GEN-30,India,Gujarat,Monthly generator refill
S1-0089,FAC-009,Jaipur Center,2026-05-09,boiler,lpg,212,kg,Bharat Petroleum,INV-10089,BLR-30,India,Rajasthan,Boiler fuel purchase
S1-0090,FAC-010,Lucknow Facility,2026-05-10,vehicle,diesel,120,liter,Indian Oil,INV-10090,VEH-30,India,Uttar Pradesh,Service van refuel
S1-0091,FAC-001,Delhi Plant,2026-05-11,generator,diesel,436,liter,Hindustan Petroleum,INV-10091,GEN-31,India,Delhi,Backup power usage
S1-0092,FAC-002,Mumbai Office,2026-05-12,boiler,natural_gas,312,Nm3,GAIL,INV-10092,BLR-31,India,Maharashtra,Heating system consumption
S1-0093,FAC-003,Bengaluru Hub,2026-05-13,vehicle,petrol,97,liter,Bharat Petroleum,INV-10093,VEH-31,India,Karnataka,Company sedan refuel
S1-0094,FAC-004,Chennai Warehouse,2026-05-14,generator,diesel,508,liter,Indian Oil,INV-10094,GEN-32,India,Tamil Nadu,Monthly generator refill
S1-0095,FAC-005,Kolkata Branch,2026-05-15,boiler,lpg,194,kg,Hindustan Petroleum,INV-10095,BLR-32,India,West Bengal,Boiler fuel purchase
S1-0096,FAC-006,Hyderabad Plant,2026-05-16,vehicle,diesel,143,liter,Bharat Petroleum,INV-10096,VEH-32,India,Telangana,Delivery truck refuel
S1-0097,FAC-007,Pune Office,2026-05-17,generator,diesel,404,liter,Indian Oil,INV-10097,GEN-33,India,Maharashtra,Backup power usage
S1-0098,FAC-008,Ahmedabad Depot,2026-05-18,boiler,natural_gas,289,Nm3,GAIL,INV-10098,BLR-33,India,Gujarat,Steam generation
S1-0099,FAC-009,Jaipur Center,2026-05-19,vehicle,petrol,80,liter,Hindustan Petroleum,INV-10099,VEH-33,India,Rajasthan,Field vehicle refuel
S1-0100,FAC-010,Lucknow Facility,2026-05-20,generator,diesel,474,liter,Indian Oil,INV-10100,GEN-34,India,Uttar Pradesh,Monthly generator refill
